date,temp_c
2025-07-02,36.6335
2025-07-03,36.614
2025-07-04,36.6881
2025-07-06,36.3248
2025-07-06,36.1353
2025-07-08,36.3426
2025-07-09,36.0029
2025-07-10,36.1502
2025-07-11,36.3697
2025-07-11,36.1544
2025-07-12,36.2537
2025-07-14,35.5925
2025-07-15,35.7056
2025-07-15,36.344
2025-07-17,36.3077
2025-07-18,35.6144
2025-07-19,36.0565
2025-07-20,35.9603
2025-07-20,35.9016
2025-07-22,36.1265
2025-07-22,35.4655
2025-07-24,36.3062
2025-07-25,36.1135
2025-07-26,36.1236
2025-07-26,36.2666
2025-07-28,36.0689
2025-07-29,36.4768
2025-07-30,36.2515
2025-07-31,36.4054
2025-07-31,36.3503
2025-08-02,36.0624
2025-08-02,36.5276
2025-08-03,36.144
2025-08-04,36.1166
2025-08-06,35.9505
2025-08-07,36.048
2025-08-07,36.1066
2025-08-09,35.5483
2025-08-09,35.644
2025-08-11,36.2294
2025-08-12,35.6869
2025-08-13,35.8788
2025-08-14,35.7917
2025-08-14,36.206
2025-08-16,35.6834
2025-08-18,35.5554
2025-08-19,35.8602
2025-08-20,35.9395
2025-08-21,36.0287
2025-08-22,35.8535
2025-08-22,35.8602
2025-08-24,35.7528
2025-08-24,35.7598
2025-08-26,35.9224
2025-08-27,36.0324
2025-08-28,36.3236
2025-08-29,36.6072
2025-08-29,36.5469
2025-08-30,36.703
2025-08-31,36.4933
2025-09-01,36.5198
2025-09-03,36.4121
2025-09-04,36.4354
2025-09-05,36.1851
2025-09-06,36.6708
2025-09-07,36.0407
2025-09-08,35.9015
2025-09-09,36.0916
2025-09-10,36.1471
2025-09-11,35.7478
2025-09-12,36.0105
2025-09-13,35.682
2025-09-14,36.1532
2025-09-14,35.8298
2025-09-16,35.9378
2025-09-17,35.915
2025-09-18,36.0322
2025-09-18,35.6926
2025-09-20,36.1781
2025-09-21,36.0047
2025-09-22,35.814
2025-09-23,36.0482
2025-09-24,36.1444
2025-09-25,36.3675
2025-09-27,36.5165
2025-09-27,36.3546
2025-09-29,36.8378
2025-09-30,36.4106
2025-10-01,36.3905
2025-10-02,36.5954
2025-10-03,36.7677
2025-10-04,36.4496
2025-10-05,36.4687
2025-10-06,36.6019
2025-10-07,36.3032
2025-10-08,36.1268
2025-10-09,35.9468
2025-10-10,36.1395
2025-10-11,36.0559
2025-10-11,36.1756
2025-10-13,35.8704
2025-10-14,36.1922
2025-10-15,35.885
2025-10-16,35.7594
2025-10-17,36.1366
2025-10-18,35.9866
2025-10-19,36.062
2025-10-20,36.4401
2025-10-21,36.3424
2025-10-21,36.5082
2025-10-23,36.5545
2025-10-24,36.3294
2025-10-27,35.9996
2025-10-28,36.5063
2025-10-29,36.5195
2025-10-30,36.5016
2025-10-31,36.2403
2025-11-01,36.3143
2025-11-09,36.0906
2025-11-10,36.0513
2025-11-12,36.2089
2025-11-13,36.2321
2025-11-15,35.7757
2025-11-16,36.3868
2025-11-17,36.3725
2025-11-18,36.5071
2025-11-19,36.5763
2025-11-20,36.5747
2025-11-21,36.441
2025-11-22,36.5494
2025-11-26,35.9346
2025-11-27,36.1618
2025-11-28,36.4066
2025-11-29,36.4428
2025-11-30,36.5044
2025-12-01,36.3431
2025-12-02,35.3754
2025-12-04,36.5111
2025-12-05,36.4247
2025-12-06,35.8833
2025-12-07,36.0253
2025-12-10,35.7674
2025-12-11,36.2358
2025-12-12,36.1567
2025-12-13,36.205
2025-12-15,36.2033
2025-12-17,35.5832
2025-12-18,36.1276
2025-12-19,36.6935
2025-12-21,36.2572
2025-12-22,36.9318
2025-12-23,36.5887
2025-12-24,36.59
2025-12-26,36.6797
2026-01-03,36.0393
2026-01-08,35.9324
2026-01-09,36.226
2026-01-12,36.3798
2026-01-13,36.2407
2026-01-14,36.3383
2026-01-15,36.2789
2026-01-16,36.7193
2026-01-17,36.4039
2026-01-20,36.3258
2026-01-21,35.3748
2026-01-23,36.4564
2026-01-27,36.6681
2026-01-28,36.4135
2026-01-29,36.3755
2026-01-30,36.2142
2026-02-02,36.2836
2026-02-03,35.7069
2026-02-05,36.0769
2026-02-06,35.9869
2026-02-07,35.6648
2026-02-08,36.0239
2026-02-09,36.0019
2026-02-10,36.3797
2026-02-11,36.1329
2026-02-12,36.1939
2026-02-13,36.2655
2026-02-14,36.2091
2026-02-15,36.4374
2026-02-17,36.6104
2026-02-18,36.7405
2026-02-19,36.8212
2026-02-20,36.7468
2026-02-21,36.5615
2026-02-22,36.3656
2026-02-24,36.696
2026-02-25,36.2084
